id;pais;cidade;telefone;idade;operadora;estado_civil
Zeus Franks;Slovakia;Le Grand-Quevilly;55(14)73557493;59;VIVO;Solteiro
Ulla F. Stevenson;Afghanistan;Elbistan;55(87)57978639;39;TIM;Solteiro
Fuller C. Cole;Holy See (Vatican City State);Pangnirtung;55(16)34105755;43;VIVO;Solteiro
Kyla W. Robertson;Jersey;Talca;55(11)87711794;22;TIM;Casado
Melanie Manning;Senegal;Celle;55(24)29260862;30;NEXTEL;Solteiro
Sage K. Koch;Sweden;Guarapuava;55(98)77823669;28;NEXTEL;Solteiro
Addison Wood;Montserrat;Guarulhos;55(96)95791801;25;NEXTEL;Solteiro
Melodie A. Garrison;Dominican Republic;Massarosa;55(14)36402842;24;CLARO;Divorciado
Victoria L. Cole;Trinidad and Tobago;Ikot Ekpene;55(15)27185157;30;OI;Divorciado
Roanna J. Madden;Tuvalu;Grosseto;55(69)33469513;49;VIVO;Casado
Kane R. Simmons;Samoa;Huntsville;55(46)31933161;55;VIVO;Solteiro
Norman Figueroa;Taiwan;San Marcello;55(45)20256908;44;NEXTEL;Divorciado
Deirdre Carey;Namibia;Wolfville;55(27)52701656;37;CLARO;Solteiro
Winter N. Fry;Nepal;Vallenar;55(37)66174826;26;TIM;Divorciado
Francis Rose;Åland Islands;Grado;55(15)48110699;25;OI;Solteiro
Scarlet B. Sheppard;American Samoa;Olathe;55(82)79464100;51;NEXTEL;Divorciado
Amery Shields;Central African Republic;Landau;55(65)53115127;27;OI;Solteiro
Kessie Bean;Ethiopia;Purmerend;55(42)61333454;56;TIM;Casado
Haley Gordon;Hungary;Casciana Terme;55(35)21033842;53;VIVO;Casado
Stephanie Whitaker;Puerto Rico;Gravilias;55(35)26051714;55;OI;Casado
Kirsten C. Kim;Honduras;Sainte-Ode;55(44)81059404;33;NEXTEL;Divorciado
Jack Moody;El Salvador;Tiruvottiyur;55(91)33254073;36;TIM;Solteiro
Shelby Mcgowan;Austria;Tumba;55(35)63832176;54;TIM;Divorciado
Ariana Torres;Pakistan;Mysore;55(50)15348243;50;TIM;Solteiro
Blossom B. David;Wallis and Futuna;Margate;55(52)86245494;50;NEXTEL;Solteiro
Nicole Green;Azerbaijan;Tucapel;55(30)11110842;59;CLARO;Solteiro
Kendall Gallagher;Montenegro;Anzegem;55(70)60390500;18;CLARO;Casado
Christian R. Joseph;Laos;Candela;55(05)14391726;56;TIM;Casado
Ginger K. Sykes;Mexico;Quinta de Tilcoco;55(68)55764590;43;NEXTEL;Casado
Ingrid Santana;Botswana;Charny;55(26)35302859;45;NEXTEL;Casado
Angela Spencer;Montserrat;Neusiedl am See;55(83)90312599;53;OI;Casado
Elijah Barker;Nicaragua;Ferrandina;55(72)45561746;60;CLARO;Solteiro
Wade V. York;Guam;Corbais;55(03)65012771;33;OI;Divorciado
Marsden W. Figueroa;Cook Islands;Saint-Sébastien-sur-Loire;55(12)80317290;47;OI;Divorciado
Honorato Riddle;Cocos (Keeling) Islands;McCallum;55(12)73774053;30;NEXTEL;Solteiro
Rebekah Larson;Morocco;Hines Creek;55(35)72677526;47;CLARO;Solteiro
Adena Holt;Bouvet Island;Lugo;55(80)77809215;59;TIM;Casado
Nehru Huber;Norfolk Island;Neerheylissem;55(95)81633472;38;CLARO;Divorciado
Oleg S. Sanchez;Niue;Ellikom;55(70)20021685;29;OI;Solteiro
Julian S. Pittman;Zambia;Elsene;55(40)56253440;58;CLARO;Casado
Carly W. Fields;Puerto Rico;Brussel;55(36)25718372;50;TIM;Divorciado
Kevin P. Odonnell;Finland;Yeotmal;55(35)52924966;32;OI;Solteiro
Alma L. Hardin;Nauru;Stevoort;55(48)31373083;26;VIVO;Solteiro
Logan R. Herrera;Pitcairn Islands;Edam;55(58)50532833;19;NEXTEL;Casado
Rhea Dickerson;United Arab Emirates;Paço do Lumiar;55(55)85043270;53;TIM;Solteiro
Daria E. Bolton;Tuvalu;Mirzapur-cum-Vindhyachal;55(85)75095741;45;OI;Divorciado
Shaine H. Combs;Burkina Faso;Opprebais;55(22)30724150;42;CLARO;Divorciado
Blythe U. Cleveland;Trinidad and Tobago;Bozeman;55(17)64542968;32;CLARO;Casado
Jana R. Hampton;Isle of Man;Vietri di Potenza;55(83)12869217;29;OI;Casado
Brandon W. Carver;Philippines;Modena;55(70)32293613;21;NEXTEL;Casado
Meghan Gilliam;Dominican Republic;Aisén;55(22)77260832;31;CLARO;Solteiro
