id;pais;cidade;telefone;idade;operadora;estado_civil
Deacon Hines;Saint Martin;Bayonne;55(03)63812974;32;TIM;Solteiro
Giacomo D. Burris;Guinea;Corroy-le-Ch‰teau;55(39)95486258;29;NEXTEL;Divorciado
Chaim O. Collier;Sao Tome and Principe;Saint-Sébastien-sur-Loire;55(90)73568357;39;CLARO;Divorciado
Halla Q. Mcneil;Croatia;Tain;55(48)87592791;44;OI;Divorciado
Carol M. Sexton;Korea, South;Kapolei;55(02)76641684;22;CLARO;Divorciado
Heather Moon;Nicaragua;Ellikom;55(67)62010709;52;NEXTEL;Casado
Preston May;Cocos (Keeling) Islands;Dandenong;55(54)29012916;44;NEXTEL;Divorciado
Zena Watkins;French Polynesia;Premeno;55(53)36074807;44;VIVO;Divorciado
Norman Meadows;Macedonia;Savona;55(06)40786741;55;CLARO;Casado
Miranda T. Snider;Paraguay;Asnières-sur-Seine;55(86)11309602;28;NEXTEL;Divorciado
Leila D. Holmes;Argentina;Humbeek;55(98)31358003;57;CLARO;Solteiro
Lawrence E. Hart;Bahamas;Picton;55(66)59565441;28;VIVO;Casado
Keegan I. Macdonald;Palestine, State of;Sale;55(17)90464078;41;TIM;Solteiro
Abraham Jordan;Nigeria;Irvine;55(08)19901231;47;CLARO;Casado
Reagan Melton;Suriname;Codognè;55(69)12124326;18;OI;Casado
Boris Snow;Gambia;Ramsel;55(82)65933128;36;CLARO;Divorciado
Felicia Turner;Niger;Zaragoza;55(12)50568402;47;CLARO;Casado
Orson Washington;Niue;Saint-Quentin;55(54)64142648;45;TIM;Casado
Rinah D. Joyner;Monaco;Lacombe;55(23)42066959;54;VIVO;Divorciado
Athena Cooley;Macedonia;Winnipeg;55(87)92095774;19;NEXTEL;Casado
Josephine M. Stephenson;Tokelau;Chillán;55(68)70958419;32;TIM;Divorciado
Julian M. Morrison;Cuba;HŽlŽcine;55(96)59630618;52;NEXTEL;Divorciado
Alice Q. Workman;Falkland Islands;Rapone;55(91)66497146;37;VIVO;Divorciado
Erasmus Gould;Ghana;Sint-Gillis-bij-Dendermonde;55(88)32683640;30;NEXTEL;Divorciado
Lillith Conway;Vanuatu;Wernigerode;55(09)81206336;25;OI;Solteiro
