id;pais;cidade;telefone;idade;operadora;estado_civil
Kalia V. Dyer;Malaysia;Miranda;55(04)50437476;49;VIVO;Solteiro
Rama A. Holder;Maldives;Diano Arentino;55(72)64537378;58;OI;Solteiro
Hop S. Simpson;Philippines;Chetwynd;55(25)75411813;24;NEXTEL;Solteiro
Magee Salazar;Cayman Islands;Den Helder;55(67)26810472;47;TIM;Casado
Abigail H. Boyer;Iran;Cache Creek;55(78)84023221;46;TIM;Divorciado
Dana Dunn;Taiwan;Zeveneken;55(36)41798214;37;VIVO;Casado
Sebastian X. Lester;Mexico;Chesterfield;55(04)45144347;56;OI;Solteiro
Larissa Albert;Lebanon;Cache Creek;55(37)22981628;31;OI;Solteiro
Portia Patrick;Antigua and Barbuda;Hafizabad;55(77)75369597;30;CLARO;Divorciado
Pascale Copeland;Iraq;Portree;55(58)92511252;47;VIVO;Divorciado
Indira Berry;Algeria;Habay;55(53)27944682;42;VIVO;Divorciado
Henry A. Thompson;Tokelau;Des Moines;55(74)28752301;32;NEXTEL;Casado
Orson K. Rose;Palestine, State of;Parndorf;55(97)40820735;21;NEXTEL;Solteiro
Brandon Mccray;Christmas Island;My;55(14)77337544;20;NEXTEL;Solteiro
Zenia Y. Frank;Cuba;Haarlem;55(33)45019544;34;NEXTEL;Casado
Cameron P. Sutton;Dominican Republic;Panchià;55(84)95888387;26;CLARO;Solteiro
Anjolie Harrison;Guam;Augusta;55(03)38662814;37;CLARO;Casado
Mercedes Kirk;Sierra Leone;Steyr;55(67)84766583;55;OI;Casado
Reuben Wagner;Canada;Banbury;55(98)39723239;37;TIM;Divorciado
Kelly E. Drake;United States Minor Outlying Islands;Knoxville;55(47)23949531;39;OI;Divorciado
Guinevere Donaldson;Bermuda;Brandenburg;55(38)35599379;36;NEXTEL;Casado
Neville Houston;Cuba;Feldkirch;55(91)54195153;24;VIVO;Divorciado
Quinn P. Holmes;Burundi;Joondalup;55(82)47847514;30;NEXTEL;Solteiro
Mercedes Steele;South Africa;Calvello;55(36)24404101;56;NEXTEL;Casado
Kaitlin Buckner;Christmas Island;Märsta;55(85)52349917;52;TIM;Casado
Kamal Z. Guthrie;Colombia;Villach;55(49)21451416;54;TIM;Divorciado
Beck Mcpherson;Anguilla;Horsham;55(34)69749254;30;VIVO;Casado
Colorado Holden;Mauritius;Castelbianco;55(04)35967557;23;NEXTEL;Casado
Willow T. Elliott;Falkland Islands;Elversele;55(57)52596381;53;TIM;Divorciado
Olympia Parks;Lesotho;Versailles;55(67)76841507;47;OI;Solteiro
Edan Duffy;Dominican Republic;Baunatal;55(48)16131555;22;NEXTEL;Casado
Emily H. Combs;Rwanda;Pitt Meadows;55(72)86260515;40;NEXTEL;Solteiro
Bruce Delaney;Korea, North;Lo Espejo;55(82)49045556;24;CLARO;Casado
Megan Walters;Dominica;Castelnovo del Friuli;55(23)86993323;53;OI;Divorciado
Reuben U. Salas;Mali;Houtave;55(50)84822535;21;TIM;Solteiro
Remedios Q. Green;Guernsey;Rignano Garganico;55(50)50305645;46;OI;Casado
Jana I. Dixon;Bolivia;Casalbuono;55(02)51203901;51;NEXTEL;Divorciado
Armando Hull;Norway;Lowell;55(53)83094314;55;TIM;Casado
Devin B. Whitley;Guatemala;Liers;55(01)35006823;59;TIM;Divorciado
Catherine Maynard;Japan;Máfil;55(55)37408956;51;OI;Casado
Mark Watson;Denmark;Grey County;55(73)64105655;20;VIVO;Casado
Macon Sheppard;Angola;Bacabal;55(34)46040560;56;VIVO;Solteiro
Ralph U. Dominguez;Bhutan;Klemskerke;55(91)21589065;42;NEXTEL;Divorciado
Quentin L. Duffy;Armenia;Branchon;55(86)73273675;51;OI;Divorciado
Pearl Hurst;Estonia;Aschaffenburg;55(34)64448567;20;OI;Casado
Jonas T. Arnold;Australia;Poulseur;55(56)95228680;34;TIM;Divorciado
Bert Montoya;Belarus;Dampicourt;55(42)93460905;19;TIM;Divorciado
Walker Delgado;Mayotte;South Portland;55(90)36294929;59;VIVO;Casado
Blake Forbes;Chile;Viesville;55(28)47149012;58;TIM;Divorciado
Jolene Hartman;Sierra Leone;Montbliart;55(59)14070413;45;CLARO;Divorciado
Jana A. Larson;Burkina Faso;Malartic;55(67)39746613;31;NEXTEL;Casado
Solomon F. Gaines;Macedonia;Jaboatão dos Guararapes;55(49)22413547;24;CLARO;Casado
Elizabeth Santana;Kenya;Segni;55(68)34265861;51;CLARO;Casado
Hadassah Y. Riggs;Ghana;Buizingen;55(32)66514894;53;VIVO;Divorciado
Jessica B. Best;Benin;Wekweti;55(47)73965042;35;VIVO;Divorciado
Macon F. Morris;Grenada;Ajaccio;55(88)73623593;20;VIVO;Casado
Sybil D. Morton;Montserrat;Gandhidham;55(51)99866709;45;VIVO;Casado
Mark Z. Merrill;Montenegro;Sint-Martens-Lennik;55(33)58673596;38;TIM;Casado
Lyle Berger;Burundi;Springfield;55(69)60633698;25;NEXTEL;Divorciado
Naomi Sharpe;Mayotte;Torino;55(80)32132721;32;CLARO;Solteiro
Myles Ball;Saint Lucia;Grey County;55(08)40800673;20;NEXTEL;Solteiro
William M. Odom;Saint Lucia;Erpion;55(33)84785166;19;CLARO;Casado
Jade K. Dawson;Kazakhstan;Sluizen;55(37)53093090;35;VIVO;Casado
Barclay P. Franklin;Cocos (Keeling) Islands;Daska;55(95)88286026;29;CLARO;Casado
Chandler Howe;Palestine, State of;Neuruppin;55(61)44164008;36;OI;Casado
Cathleen Burnett;American Samoa;Kansas City;55(92)25707114;51;NEXTEL;Solteiro
Jakeem Woodard;Mali;Rea;55(36)50391616;54;TIM;Casado
Sandra Padilla;Swaziland;Wimmertingen;55(53)94968661;44;NEXTEL;Casado
Cedric J. Hatfield;Singapore;Fort Resolution;55(04)22412281;22;VIVO;Divorciado
Shaeleigh G. Ford;Malawi;Starachowice;55(09)78390120;51;VIVO;Casado
Drew Rogers;Thailand;North Las Vegas;55(25)17231663;59;TIM;Solteiro
Freya Welch;Czech Republic;Landenne;55(21)94904509;50;VIVO;Casado
Arsenio C. Warner;Uganda;Itzehoe;55(91)55318898;45;NEXTEL;Divorciado
Otto Franks;El Salvador;Leonding;55(96)18417784;46;OI;Divorciado
Neil Z. Dunlap;Congo (Brazzaville);Dorval;55(86)75664752;44;NEXTEL;Solteiro
Lara C. Larsen;Liechtenstein;Beaconsfield;55(17)81861266;55;NEXTEL;Divorciado
Yoshi E. Morse;Aruba;Thuillies;55(73)66650610;48;VIVO;Casado
Drew A. Durham;Northern Mariana Islands;Huasco;55(45)65860019;31;NEXTEL;Casado
Amaya Lott;Czech Republic;Chelsea;55(45)37237938;22;TIM;Casado
Jemima Dalton;Ghana;San Francisco;55(54)10746849;54;OI;Divorciado
Wing Horne;French Polynesia;Terragnolo;55(59)69776674;46;CLARO;Solteiro
Brenda W. Wright;Papua New Guinea;Berwick;55(47)40809233;45;NEXTEL;Casado
Elliott M. Rollins;Papua New Guinea;Clarksville;55(94)42463515;39;NEXTEL;Casado
Alyssa Z. Valentine;Åland Islands;Penzance;55(59)34795566;30;VIVO;Solteiro
Sade Henry;Mauritania;Greater Hobart;55(60)69326789;58;NEXTEL;Solteiro
Sheila U. Pierce;Suriname;Souvret;55(89)32730531;23;NEXTEL;Casado
Isabelle Steele;Dominican Republic;Golspie;55(15)73560590;39;OI;Divorciado
Tana Walton;Greenland;Onitsha;55(93)79552161;43;CLARO;Casado
Mercedes J. Middleton;Jersey;Vernole;55(40)65211592;53;NEXTEL;Solteiro
Dai J. Robbins;Kiribati;Graz;55(35)67619098;33;VIVO;Solteiro
Gwendolyn E. Morales;Afghanistan;Subiaco;55(56)22183128;36;OI;Divorciado
Lila Golden;Finland;Tarvisio;55(97)72079689;32;OI;Divorciado
Austin W. Perkins;Costa Rica;Cottbus;55(53)63795725;32;OI;Casado
Nathan N. Riley;Belarus;Dutse;55(37)50974540;48;TIM;Divorciado
Ali R. Lyons;Macedonia;Matagami;55(92)39831382;60;TIM;Casado
Brent Schmidt;United States;Chicago;55(03)73299882;21;VIVO;Casado
Coby N. Marquez;Heard Island and Mcdonald Islands;Cranbrook;55(63)74856263;29;VIVO;Divorciado
Chantale F. Peck;Libya;Bazel;55(98)23372824;59;TIM;Solteiro
Sade Hawkins;Antigua and Barbuda;Puyehue;55(50)85699534;29;VIVO;Divorciado
Meghan Solis;Algeria;Marcedusa;55(39)14221841;37;TIM;Solteiro
