id;pais;cidade;telefone;idade;operadora;estado_civil
Candice R. Baldwin;Syria;Gangtok;55(28)74138048;26;CLARO;Casado
Ashton E. Schultz;American Samoa;Calbuco;55(62)94972260;60;NEXTEL;Divorciado
Rhiannon G. Velasquez;Laos;Valmacca;55(54)66875279;25;VIVO;Divorciado
Paul Sellers;Iran;Stamford;55(67)29642027;57;OI;Divorciado
Kiayada Haney;Mali;Senneville;55(31)86220389;50;VIVO;Divorciado
Georgia Spears;Guyana;Bolano;55(01)14142100;44;NEXTEL;Solteiro
Deirdre Rice;Somalia;Calvello;55(62)36881099;45;CLARO;Divorciado
Alexa Wilkinson;Vanuatu;Pulle;55(03)51223296;28;TIM;Casado
Quinlan B. Goodwin;Portugal;Monte Vidon Corrado;55(38)87357647;36;TIM;Divorciado
Nicholas Chang;Montenegro;Täby;55(49)24017301;41;VIVO;Solteiro
Barry Curry;Bouvet Island;Bal‰tre;55(69)41117785;59;TIM;Divorciado
Cedric H. Dillard;Central African Republic;Villafranca Tirrena;55(29)27466394;39;NEXTEL;Solteiro
Xandra S. Fowler;Tajikistan;L�vis;55(58)36318398;19;TIM;Casado
Imogene B. Klein;Côte D'Ivoire (Ivory Coast);Montjovet;55(36)18839674;36;VIVO;Solteiro
Jarrod B. Melton;Eritrea;Orp-Jauche;55(32)70001556;24;OI;Divorciado
Galvin I. Whitaker;Uzbekistan;Bientina;55(14)23066658;35;TIM;Solteiro
Sean L. Santana;Armenia;Pondicherry;55(25)78176310;55;TIM;Casado
Kaye Cobb;South Africa;Aiseau;55(21)57426789;51;TIM;Casado
Ava S. Herman;Canada;Alanya;55(10)48067026;28;TIM;Divorciado
Ima Ramsey;Vanuatu;Daska;55(04)93328301;53;OI;Solteiro
Latifah Reid;Svalbard and Jan Mayen Islands;Flushing;55(45)98154811;35;NEXTEL;Divorciado
Thomas Watkins;Palestine, State of;Afşin;55(36)41618883;55;OI;Divorciado
Elton O. Roberts;Lesotho;Teralfene;55(92)38377066;53;NEXTEL;Divorciado
Logan Velez;Cameroon;Gilly;55(98)32438601;31;CLARO;Divorciado
Meghan Suarez;Burundi;Naperville;55(88)79414875;52;NEXTEL;Solteiro
August Holder;Yemen;Huntley;55(20)64920613;40;VIVO;Casado
Penelope B. Burnett;Curaçao;Esen;55(47)86590439;29;NEXTEL;Solteiro
Davis W. Woodward;South Georgia and The South Sandwich Islands;Antibes;55(19)68961845;38;TIM;Divorciado
Jayme Myers;Maldives;Gattatico;55(27)38023507;59;VIVO;Casado
Bradley Nielsen;Guinea;Fino Mornasco;55(57)11197820;49;CLARO;Solteiro
Wesley Q. Alford;New Caledonia;Bedollo;55(81)97788458;34;CLARO;Casado
Gretchen T. Mack;Martinique;Roccanova;55(61)93368040;41;VIVO;Divorciado
Cally B. Lambert;Guinea;Vergemoli;55(09)11068621;28;TIM;Casado
Quamar T. Coffey;British Indian Ocean Territory;Rhemes-Notre-Dame;55(57)43573289;36;CLARO;Casado
Zeus Barlow;Puerto Rico;Amberloup;55(18)63852581;39;VIVO;Solteiro
Maggie Garcia;Ghana;Beersel;55(76)39172136;46;NEXTEL;Divorciado
Addison K. Phelps;Zambia;Leduc;55(31)22604603;39;VIVO;Solteiro
Keelie Harrington;Anguilla;Shawville;55(95)69553773;48;NEXTEL;Casado
George E. Avila;United Kingdom (Great Britain);Priero;55(85)34367394;50;CLARO;Solteiro
Kylan Ford;Zimbabwe;Kielce;55(52)16049687;55;CLARO;Solteiro
Abra Mcfarland;Zambia;Kitchener;55(73)27694539;52;CLARO;Divorciado
Mariam Y. Cobb;Belgium;Buckley;55(29)69148683;43;TIM;Divorciado
Montana O. Robinson;Bulgaria;Beerse;55(65)35447748;27;CLARO;Solteiro
Kevyn Jordan;Liberia;Neuruppin;55(81)11681025;31;CLARO;Casado
Zane D. Pearson;Saint Helena, Ascension and Tristan da Cunha;Puente Alto;55(36)79407646;52;OI;Casado
Kimberley V. Burke;Gambia;Hudson Bay;55(79)67724844;60;TIM;Casado
Arsenio West;Burundi;Puri;55(53)68854762;58;OI;Divorciado
Adrienne H. Mcfadden;Solomon Islands;Ancarano;55(38)75312770;50;OI;Casado
Camilla D. Atkinson;Belarus;Gijzelbrechtegem;55(57)22817914;28;OI;Casado
Shannon Ruiz;United States;Minto;55(62)28073623;48;OI;Solteiro
Ivor Gomez;Sao Tome and Principe;Veldegem;55(27)29214847;41;NEXTEL;Casado
Wang Valencia;Curaçao;Kington;55(54)71337227;53;OI;Casado
Yasir T. Bullock;Montserrat;Toulon;55(51)59290639;28;OI;Casado
Reed O. Kaufman;Luxembourg;Nampa;55(91)72607859;28;OI;Divorciado
Berk O. Walton;Saint Pierre and Miquelon;Loncoche;55(32)33321951;43;VIVO;Solteiro
Bruno M. Blake;Iceland;Xhoris;55(55)36344613;50;OI;Casado
Chester Hester;Saint Vincent and The Grenadines;Fabro;55(97)29383990;31;VIVO;Divorciado
