id;pais;cidade;telefone;idade;operadora;estado_civil
Clinton U. Murphy;Mauritius;Wandre;55(45)87732532;47;VIVO;Divorciado
Zeus W. Clemons;Virgin Islands, British;Saarbrücken;55(76)58859245;48;TIM;Solteiro
Jameson Fox;Poland;Coleville Lake;55(46)44577436;32;OI;Divorciado
Basil Alexander;Tokelau;Newbury;55(50)80580291;30;TIM;Casado
Nola B. Spencer;Laos;Fosses-la-Ville;55(02)45084370;23;CLARO;Casado
Timon L. Rogers;Bulgaria;Richmond;55(21)27346578;29;NEXTEL;Solteiro
Cedric W. Lowery;Kiribati;La Reina;55(30)59299867;30;TIM;Solteiro
Charde A. Lucas;Hungary;Beerse;55(17)59922557;20;TIM;Solteiro
Cailin M. Schultz;Virgin Islands, British;Rio Verde;55(34)79327096;58;VIVO;Solteiro
Hayden Mcleod;Kenya;Bairnsdale;55(83)64358449;21;CLARO;Solteiro
Tyler J. Peterson;Pakistan;Aberystwyth;55(47)27913434;52;VIVO;Solteiro
Vernon Stevens;Romania;Whitehaven;55(55)94598104;48;NEXTEL;Casado
Quamar Oneil;Honduras;Ponte San Nicolò;55(24)57275260;45;TIM;Casado
Ishmael C. Gentry;Aruba;Pelarco;55(21)33457011;37;VIVO;Solteiro
Fatima K. Sanchez;Virgin Islands, United States;Barbania;55(45)12996988;28;TIM;Divorciado
Valentine N. Tanner;South Africa;Castanhal;55(14)58167685;59;CLARO;Casado
Cherokee Heath;Colombia;Zwettl-Niederösterreich;55(15)99872551;23;OI;Solteiro
Inga F. Boone;Belgium;Tongeren;55(46)39511259;44;OI;Solteiro
George Strong;Sri Lanka;Falmouth;55(58)94348775;53;VIVO;Casado
Jarrod Hensley;Finland;Lo Barnechea;55(31)78725251;44;TIM;Solteiro
Kyle O. Kennedy;Nicaragua;Gillette;55(51)25494254;57;NEXTEL;Casado
Yoko B. Talley;Egypt;Navidad;55(15)63095629;37;NEXTEL;Casado
Katelyn Y. Ochoa;Central African Republic;Arendonk;55(93)89888991;40;OI;Solteiro
Calvin D. Mendez;Korea, South;Poitiers;55(27)91212604;20;CLARO;Solteiro
Herman P. Henson;Montenegro;Cardedu;55(15)95656066;41;OI;Divorciado
Dacey Gillespie;Nepal;Sedgewick;55(48)35573463;48;CLARO;Solteiro
Cooper Myers;Reunion;Grand-Reng;55(49)39219431;49;VIVO;Solteiro
William C. Richardson;Angola;High Wycombe;55(82)23101802;43;OI;Solteiro
Shafira D. Thornton;Jamaica;Wabamun;55(70)91017858;26;OI;Divorciado
Sonia Tanner;Belize;Södertälje;55(05)57882982;34;TIM;Casado
Sebastian I. Mcknight;Sao Tome and Principe;Teltow;55(72)36201335;58;NEXTEL;Casado
Amelia T. Gill;French Guiana;Evesham;55(08)66112211;30;CLARO;Divorciado
Jason N. Pope;Bulgaria;Mascalucia;55(77)99952009;29;CLARO;Casado
Wesley R. Campbell;Holy See (Vatican City State);Teralfene;55(87)95497419;37;OI;Solteiro
Ian G. Powers;Latvia;Haarlem;55(69)72493673;38;OI;Casado
Megan Vaughan;Portugal;Ranchi;55(08)87563106;18;VIVO;Casado
Urielle Yang;Russian Federation;Prenzlau;55(71)93916987;24;VIVO;Casado
Leslie D. Mccray;Lithuania;Juazeiro do Norte;55(15)63485867;48;TIM;Divorciado
Benedict Delaney;Burkina Faso;Lienz;55(18)57360455;29;OI;Casado
Gretchen Brooks;Bouvet Island;San Jose;55(65)52309551;28;VIVO;Divorciado
Honorato W. Hudson;El Salvador;Burnaby;55(17)14859151;20;NEXTEL;Casado
Imelda Hinton;Eritrea;Andalo;55(08)87922116;25;VIVO;Divorciado
Melissa M. Reynolds;Netherlands;Forgaria nel Friuli;55(63)90689407;26;NEXTEL;Divorciado
Gareth Schultz;Costa Rica;Arrone;55(50)82979898;23;CLARO;Divorciado
Walker C. Daniels;Laos;Mjölby;55(81)13646122;24;OI;Divorciado
Flavia Q. Munoz;Vanuatu;Hope;55(76)45878788;28;CLARO;Solteiro
Francesca I. Mckenzie;British Indian Ocean Territory;Oklahoma City;55(51)61609024;43;CLARO;Solteiro
Leigh Z. Oneal;New Caledonia;Belgrade;55(03)45029267;27;VIVO;Divorciado
Perry V. Stokes;United Arab Emirates;Atlanta;55(87)53965563;50;VIVO;Divorciado
Lillith Q. Lott;Bulgaria;Villa Santo Stefano;55(68)65278295;28;VIVO;Divorciado
Holmes E. Tate;Yemen;Midlands;55(42)23462222;41;NEXTEL;Casado
Caldwell Gray;Sri Lanka;Lillois-WitterzŽe;55(90)90643552;46;VIVO;Divorciado
Kathleen D. Branch;Zambia;Böblingen;55(20)64264807;29;TIM;Solteiro
Katell Alvarado;Bosnia and Herzegovina;Otukpo;55(74)30856633;45;TIM;Casado
Willa Livingston;Singapore;Tallahassee;55(47)89829386;36;NEXTEL;Solteiro
Ryan Franks;Christmas Island;Santa Flavia;55(33)51489713;25;VIVO;Casado
Chantale M. Snyder;Liechtenstein;Ehein;55(65)90451059;36;OI;Divorciado
Aileen Ray;Turks and Caicos Islands;Verdun;55(12)77199760;38;VIVO;Solteiro
Nita W. Contreras;Norfolk Island;Montleban;55(71)52801885;18;OI;Solteiro
Maite Wolf;Indonesia;ZŽtrud-Lumay;55(91)11684560;48;VIVO;Divorciado
Dexter Cummings;French Polynesia;Kitscoty;55(44)92233450;21;OI;Casado
Kelly M. Hoover;Botswana;Amravati;55(01)73860733;49;VIVO;Casado
Illana P. Copeland;Rwanda;Deline;55(54)95527411;60;VIVO;Casado
Leila H. Golden;Luxembourg;Sh�diac;55(26)89238573;36;OI;Solteiro
India I. Meyer;Palestine, State of;Torella del Sannio;55(02)62904740;43;TIM;Divorciado
Sopoline Scott;Palestine, State of;Castelvecchio di Rocca Barbena;55(21)37778041;35;CLARO;Casado
Dai N. Montgomery;Andorra;Allentown;55(31)43839209;47;NEXTEL;Divorciado
Mannix G. Kirkland;Costa Rica;Ururi;55(53)78009008;36;NEXTEL;Casado
Hadassah S. Long;Qatar;Las Vegas;55(19)44287373;48;OI;Solteiro
Sage W. Joseph;Monaco;Halen;55(59)21198360;42;OI;Divorciado
Sloane Hampton;Bouvet Island;Prenzlau;55(25)24386152;45;OI;Casado
Ella S. Cole;Comoros;Fort Collins;55(98)82430839;57;VIVO;Divorciado
Phillip Berry;Jersey;Llanwrtwd Wells;55(38)44928872;49;OI;Solteiro
Martina Black;Lithuania;Blumenau;55(53)87726703;53;NEXTEL;Divorciado
Adrienne I. Torres;Chad;Racine;55(96)55062553;36;OI;Divorciado
Cameron C. Wells;San Marino;Lucknow;55(32)55379298;36;NEXTEL;Solteiro
Reese X. Edwards;Zambia;Moorsel;55(84)96185857;30;CLARO;Casado
Chancellor Soto;Malaysia;Drayton Valley;55(89)39066329;50;NEXTEL;Solteiro
Calvin E. Walls;Comoros;Rattray;55(34)21930298;57;NEXTEL;Casado
Denton I. Henderson;Niue;Long Eaton;55(27)29828570;55;OI;Solteiro
Ciara Molina;Palestine, State of;Alajuelita;55(50)15437355;18;OI;Solteiro
Elmo Cantrell;Grenada;Bonnyville;55(94)26968707;42;NEXTEL;Casado
Ivory V. Tran;Micronesia;Buguma;55(37)39890411;51;CLARO;Casado
Jillian Mayer;Ethiopia;Weston-super-Mare;55(07)80168663;27;NEXTEL;Casado
Naomi F. Rocha;Montserrat;Clearwater Municipal District;55(58)48138832;48;VIVO;Divorciado
Imogene O. Steele;Dominican Republic;Zele;55(01)40942374;32;TIM;Solteiro
Silas Buckley;British Indian Ocean Territory;Armo;55(20)12590527;39;TIM;Solteiro
Holmes M. Strong;Guernsey;Steenhuffel;55(84)17734046;48;NEXTEL;Casado
Acton Hahn;Eritrea;Tiel;55(67)87003489;33;CLARO;Solteiro
Evangeline Foster;Saint Martin;Pescopagano;55(30)76347286;52;OI;Divorciado
Cadman V. Walton;Morocco;Luttre;55(67)53299576;46;VIVO;Solteiro
Brittany X. Blanchard;Uzbekistan;Saint-Urbain;55(57)49218802;56;VIVO;Solteiro
Yuri Torres;Monaco;Landeck;55(93)93627789;44;CLARO;Casado
Brittany K. Townsend;Senegal;Zaria;55(46)14534641;55;CLARO;Casado
Marvin G. Lawson;Sao Tome and Principe;Springdale;55(63)37079348;50;OI;Casado
Briar Madden;Zambia;Montegranaro;55(81)11285334;46;CLARO;Solteiro
Kelsie B. James;Guinea;Glauchau;55(21)22736523;57;NEXTEL;Solteiro
Lila Munoz;Finland;Tirúa;55(83)83519357;31;OI;Divorciado
Xandra Webster;Bosnia and Herzegovina;İslahiye;55(71)24463019;32;CLARO;Divorciado
Cara I. Norman;Mali;Uberaba;55(79)29941483;33;OI;Solteiro
