id;pais;cidade;telefone;idade;operadora;estado_civil
Quinn S. Casey;Syria;Holywell;55(89)76207443;54;VIVO;Solteiro
Emi E. Leon;Pitcairn Islands;Clermont-Ferrand;55(72)84497623;52;VIVO;Casado
Adele I. Hughes;Greenland;Darwin;55(09)68020238;21;NEXTEL;Divorciado
Preston R. Oliver;Uruguay;Borås;55(01)60250601;28;OI;Casado
William Buck;Montenegro;Casalvieri;55(95)36737883;56;OI;Casado
Tanner Z. Chambers;Albania;Mandi Bahauddin;55(29)42192351;18;VIVO;Casado
Fatima O. Kline;Sri Lanka;Piła;55(51)63276357;21;VIVO;Casado
Illana S. Craig;Poland;Campbeltown;55(87)70930376;27;TIM;Casado
Abel Klein;British Indian Ocean Territory;Villers-lez-Heest;55(03)70752066;26;OI;Casado
Julie Houston;Sri Lanka;San Pietro Avellana;55(31)18095383;46;CLARO;Divorciado
Troy N. Suarez;Hong Kong;Livo;55(94)83721186;53;NEXTEL;Casado
Lana Weaver;United Arab Emirates;Völkermarkt;55(34)99198327;22;VIVO;Casado
Joelle H. Boyd;Armenia;Assebroek;55(03)62680755;19;CLARO;Solteiro
Danielle L. Fuentes;Hong Kong;Schulen;55(57)67485196;30;VIVO;Solteiro
Lionel R. Ferrell;Indonesia;Williams Lake;55(23)34976429;29;VIVO;Casado
Fuller L. Evans;Panama;Melrose;55(85)67226638;39;CLARO;Solteiro
Malik Briggs;Colombia;Jamoigne;55(38)11020449;54;VIVO;Solteiro
Gloria George;Sierra Leone;Castel Colonna;55(36)91256394;55;NEXTEL;Divorciado
Hilary Anderson;Netherlands;Sivry-Rance;55(40)99564030;55;NEXTEL;Solteiro
Brett Cervantes;Syria;L'Hospitalet de Llobregat;55(59)97141835;54;OI;Solteiro
Kirestin S. Ferrell;Indonesia;Tontelange;55(21)50386534;43;NEXTEL;Solteiro
Anastasia B. Sheppard;Benin;Fort Resolution;55(30)32488689;60;VIVO;Casado
Samson Q. Burgess;Mauritania;Kakinada;55(89)21722084;25;CLARO;Solteiro
Quon Snider;Portugal;Maria;55(42)44006415;38;CLARO;Casado
Armando O. Pitts;Ukraine;Ujjain;55(47)77106365;27;TIM;Solteiro
Noah Short;Qatar;Noragugume;55(48)70908127;51;CLARO;Casado
Drew O. Mcfarland;Peru;Beausejour;55(10)34238216;26;VIVO;Divorciado
Nicholas H. Bryant;Georgia;Amqui;55(36)90136032;44;TIM;Solteiro
Dolan Landry;Isle of Man;Tofield;55(17)70349112;49;TIM;Divorciado
Maxine H. Fuentes;Saint Pierre and Miquelon;Westmalle;55(35)20416959;46;VIVO;Casado
Lila F. Cherry;New Caledonia;Ananindeua;55(37)71142395;42;VIVO;Casado
Farrah N. Dean;Liberia;Padre las Casas;55(48)47342118;46;VIVO;Casado
Regan Palmer;Cape Verde;Worcester;55(60)14350239;35;NEXTEL;Solteiro
Declan M. Ochoa;Bouvet Island;Renfrew;55(49)83392037;51;CLARO;Casado
Oliver Waller;Paraguay;Kimberly;55(17)48141517;50;OI;Casado
Abigail Irwin;Romania;Vizianagaram;55(39)88530739;33;CLARO;Divorciado
Pandora Daniel;Macao;Aschersleben;55(65)91666796;47;CLARO;Casado
Rhea C. Shannon;Tokelau;Oranienburg;55(19)24622259;43;NEXTEL;Divorciado
Arden Cabrera;Bahrain;Petorca;55(76)10673547;32;TIM;Divorciado
Jacob F. Suarez;Guam;Roux-Miroir;55(56)20060204;18;VIVO;Casado
Ivan Horton;Cambodia;Charny;55(98)30282144;19;CLARO;Solteiro
Grace K. Mclaughlin;Palestine, State of;Jauchelette;55(54)96709538;50;CLARO;Casado
Linus T. Alston;Cambodia;Vidisha;55(48)39136619;35;TIM;Casado
Buckminster Y. Guerra;Spain;Burlington;55(68)90796665;44;VIVO;Casado
Aaron Padilla;Cuba;Blois;55(34)43658093;58;NEXTEL;Divorciado
Taylor E. Stone;Gambia;Fosses-la-Ville;55(40)67941538;56;OI;Solteiro
Samuel R. Farmer;United Kingdom (Great Britain);Macul;55(40)54989068;53;TIM;Divorciado
Plato English;Aruba;Bear;55(21)76977211;54;VIVO;Divorciado
Luke P. Roberson;Iceland;Houtvenne;55(60)88397362;59;VIVO;Solteiro
Xavier D. Nicholson;Faroe Islands;Jupille-sur-Meuse;55(49)28720392;45;CLARO;Solteiro
Quinn Rice;Algeria;Jaipur;55(81)40137673;22;CLARO;Divorciado
Elliott Z. Valencia;Niue;Fusignano;55(62)23950897;35;NEXTEL;Casado
Coby Sanford;Syria;Inuvik;55(21)50960877;21;VIVO;Casado
Nomlanga Levy;French Polynesia;Mondolfo;55(28)33829346;50;NEXTEL;Casado
Ezekiel Pickett;Guam;Fiuminata;55(93)69038826;19;CLARO;Solteiro
Erich Figueroa;Denmark;Fremantle;55(32)63843536;44;VIVO;Solteiro
Cara Fernandez;Mayotte;Ostrowiec Świętokrzyski;55(70)41179169;32;TIM;Casado
Dana L. Morse;Cape Verde;Gonnosfanadiga;55(04)26092312;24;NEXTEL;Casado
Grady Fulton;Afghanistan;Dworp;55(36)67881298;24;OI;Divorciado
Calista C. Yates;Mongolia;Viano;55(21)51768602;45;CLARO;Divorciado
Xanthus Perez;Northern Mariana Islands;Portland;55(28)90185658;23;OI;Divorciado
