id;pais;cidade;telefone;idade;operadora;estado_civil
Nerea Simon;Romania;Springfield;55(62)69731677;51;NEXTEL;Divorciado
Sean Fox;Sierra Leone;West Vancouver;55(77)85062106;30;VIVO;Divorciado
Macon Mathis;Palau;Stirling;55(31)78408014;22;NEXTEL;Divorciado
Ian Ross;Mexico;Chimbarongo;55(25)47465195;32;TIM;Divorciado
Magee Eaton;Morocco;Minneapolis;55(84)13990279;27;CLARO;Divorciado
Jolie Wiley;Ecuador;Lüneburg;55(11)14377561;51;OI;Casado
Destiny U. Bridges;Antarctica;Mendonk;55(88)69998356;43;VIVO;Divorciado
Ralph A. Weeks;Dominican Republic;Värnamo;55(76)38516351;42;OI;Casado
Pamela Parker;Malta;Kulti-Barakar;55(05)64054288;34;VIVO;Divorciado
Nehru Alston;French Southern Territories;Sylvan Lake;55(28)64638597;25;TIM;Casado
Scott F. Pena;Turkmenistan;Betim;55(88)27597660;44;OI;Casado
Jemima J. Hancock;New Caledonia;Lagos;55(66)77041276;54;TIM;Casado
Evelyn Cleveland;Malawi;Łomża;55(15)92131414;20;OI;Casado
Cassady Schneider;Martinique;Kasterlee;55(70)12513403;46;NEXTEL;Divorciado
Lilah Hurley;Tanzania;Urbe;55(90)44752486;29;OI;Divorciado
Bert Booth;Niger;Wismar;55(36)71779590;42;OI;Solteiro
Petra P. Russell;Niger;Port Pirie;55(24)93604757;52;CLARO;Solteiro
Bruce G. Kane;Morocco;Kaaskerke;55(01)11967058;36;CLARO;Casado
Orson Moreno;Sri Lanka;Zerba;55(60)37846509;44;VIVO;Casado
Sigourney B. Pruitt;Niue;Gressoney-La-Trinitè;55(10)34665727;34;OI;Solteiro
Justina L. Schultz;Marshall Islands;Timkur;55(61)90399996;44;TIM;Solteiro
Amir I. Cameron;Virgin Islands, United States;Itapipoca;55(11)80350758;59;VIVO;Solteiro
Kieran O. Frank;Aruba;Meeffe;55(76)42634115;57;OI;Divorciado
Howard Roberts;Niger;HŽron;55(45)53894629;47;CLARO;Casado
Cain Hunt;Paraguay;Tielen;55(24)82177615;22;VIVO;Solteiro
Dale O. Sosa;Antigua and Barbuda;Schepdaal;55(71)60428193;34;TIM;Casado
Nina Park;Turkmenistan;Burlington;55(16)72276365;59;CLARO;Divorciado
Chadwick V. Dillon;Curaçao;Sant'Egidio alla Vibrata;55(26)43941107;23;NEXTEL;Solteiro
Katell Johns;Serbia;Guysborough;55(79)81454781;30;VIVO;Solteiro
Lael E. Chandler;Guinea;Krishnanagar;55(08)30944738;48;CLARO;Solteiro
George Wilcox;American Samoa;Gulbarga;55(85)13492375;47;OI;Casado
Brett Tucker;Syria;Pune;55(58)33911522;35;TIM;Casado
Tanek Weaver;Albania;Pievepelago;55(59)24368245;24;TIM;Divorciado
Duncan Logan;Gibraltar;Wansin;55(95)76807514;18;VIVO;Divorciado
Wynter Bailey;Australia;Kolmont;55(39)92971877;53;VIVO;Casado
Ebony Campbell;Slovenia;Bahawalnagar;55(47)32396264;24;NEXTEL;Solteiro
Emi N. Britt;China;Sahiwal;55(50)87597673;53;OI;Casado
Jordan Farley;United States;San Costantino Calabro;55(18)65297387;27;OI;Solteiro
Cathleen W. Walls;Haiti;Vaux-sous-ChŽvremont;55(85)96453109;54;NEXTEL;Casado
Gemma Gonzales;Indonesia;Vallentuna;55(92)49298171;23;OI;Casado
Julie L. Mullen;Malta;Nil-Saint-Vincent-Saint-Martin;55(70)32058011;50;NEXTEL;Solteiro
Cedric Marks;Korea, North;Merritt;55(55)62331679;34;NEXTEL;Casado
Nasim Bennett;Eritrea;Aalen;55(14)59738787;47;VIVO;Casado
Ulla Serrano;Morocco;El Quisco;55(06)33276979;26;OI;Casado
Vernon A. Casey;Saint Pierre and Miquelon;Nanton;55(30)22254646;60;VIVO;Casado
Hedda A. Wiggins;Andorra;Treglio;55(94)11966380;53;OI;Casado
Nola Stuart;Cuba;Jundiaí;55(11)26868279;19;TIM;Casado
Rae O. Armstrong;Austria;Tacoma;55(08)27571431;43;CLARO;Solteiro
Amal Warner;South Georgia and The South Sandwich Islands;Langenburg;55(28)78771373;44;OI;Casado
Hedwig Odom;Svalbard and Jan Mayen Islands;Lowestoft;55(43)22567009;52;VIVO;Divorciado
Hu Emerson;Thailand;Fernie;55(92)31310279;59;NEXTEL;Casado
Mara E. Hampton;Mexico;Ogbomosho;55(19)87267194;19;VIVO;Solteiro
Kevyn X. Perkins;Eritrea;Kisi;55(90)70739472;39;TIM;Divorciado
Abbot Newton;Norway;Cajazeiras;55(51)13484124;58;CLARO;Solteiro
Barry D. Knapp;Kiribati;Poggiodomo;55(79)41147775;35;TIM;Casado
Rahim K. Mcmahon;Bahrain;Paradise;55(79)79559393;41;OI;Divorciado
Wynter S. Mcmahon;Cape Verde;Kirriemuir;55(07)54071769;36;CLARO;Solteiro
Joshua K. Nunez;Honduras;Mosciano Sant'Angelo;55(51)49422358;39;TIM;Casado
Candice T. Snider;Bouvet Island;Thorembais-Saint-Trond;55(84)62352805;30;TIM;Divorciado
Mercedes P. Hicks;Burundi;Parramatta;55(13)90860934;21;VIVO;Casado
Noelle A. Johns;Sint Maarten;Green Bay;55(46)70677675;29;VIVO;Solteiro
Ariel Ruiz;Estonia;Bargagli;55(44)80755743;54;NEXTEL;Solteiro
Amela Fuentes;United States;Bear;55(60)39369675;48;CLARO;Solteiro
Paloma S. Weber;Cameroon;PiŽtrain;55(44)46485138;59;OI;Casado
David E. Cain;Greenland;Conca Casale;55(86)69540873;36;NEXTEL;Divorciado
Madaline Salas;Wallis and Futuna;Naarden;55(00)17981392;29;OI;Solteiro
Camille G. Shepard;Guernsey;Napoli;55(62)32842650;22;CLARO;Divorciado
Haviva Mcdaniel;Switzerland;Blind River;55(33)50601020;28;CLARO;Casado
