id;pais;cidade;telefone;idade;operadora;estado_civil
Connor S. Stewart;Bahamas;Melilla;55(23)43621987;57;OI;Solteiro
Caldwell Russo;Macedonia;Longaví;55(62)55749026;35;VIVO;Solteiro
Kane X. Pate;Hong Kong;Bard;55(76)57048936;57;OI;Solteiro
Gannon Melton;Belgium;Saint-Oyen;55(90)66684655;22;VIVO;Divorciado
Ryan I. Booker;Jersey;Agra;55(14)28544776;55;OI;Solteiro
Lee Patrick;Serbia;Sudbury;55(20)75712207;35;CLARO;Divorciado
Calista A. Glenn;Swaziland;Olmué;55(07)28542907;18;TIM;Divorciado
Brendan Wilson;Samoa;Regensburg;55(66)32045088;53;OI;Solteiro
Micah Ingram;Nigeria;Moncton;55(13)40775864;19;VIVO;Casado
Faith Gill;Turks and Caicos Islands;Shahjahanpur;55(06)18036294;58;OI;Solteiro
Armando Jennings;Algeria;Winnipeg;55(28)96174577;31;TIM;Divorciado
Byron Woodward;Western Sahara;Mauá;55(37)17653216;32;VIVO;Casado
Rachel Francis;Slovakia;Warwick;55(33)61694198;35;TIM;Divorciado
Jemima R. Abbott;Liberia;Vlimmeren;55(00)78343232;47;CLARO;Solteiro
Adrian Z. Gomez;Costa Rica;Vauda Canavese;55(23)41219103;45;CLARO;Divorciado
Kerry Matthews;Niger;Nemoli;55(38)28019736;32;TIM;Casado
Violet Y. Salazar;Reunion;Rothesay;55(58)58616381;54;VIVO;Solteiro
Lyle A. Frye;Syria;Armadale;55(65)63381659;26;OI;Solteiro
Cedric V. Alvarez;Libya;Puerto Octay;55(30)69530275;30;VIVO;Divorciado
Brynne Rose;Uzbekistan;Gatineau;55(11)40774989;53;OI;Divorciado
Ishmael Cotton;Israel;Linton;55(80)44451291;33;NEXTEL;Divorciado
Eric Glenn;Thailand;San Pablo;55(88)11640865;42;VIVO;Casado
Ethan G. Graham;Wallis and Futuna;San Gregorio;55(03)97194950;19;CLARO;Divorciado
Bruno Smith;India;Monghidoro;55(83)52657397;52;TIM;Casado
Arsenio B. Herman;Austria;Rochester;55(45)22550715;23;NEXTEL;Casado
Nathan U. Sampson;Burundi;Jambes;55(06)35221304;22;TIM;Solteiro
Eric Dickson;Solomon Islands;Atlanta;55(27)34609897;26;CLARO;Casado
Willa F. Maxwell;Ecuador;WanfercŽe-Baulet;55(16)16931530;45;TIM;Casado
Dale F. Maddox;Andorra;San Javier;55(50)56952619;38;OI;Casado
Marshall Barr;Tanzania;Carluke;55(58)87683950;19;VIVO;Divorciado
Sandra S. Roach;Luxembourg;Timaukel;55(07)51660093;31;VIVO;Solteiro
Alfreda Alvarez;Bahrain;Caprino Bergamasco;55(59)25734009;56;OI;Solteiro
Cleo Q. England;Paraguay;San Miguel;55(01)74912083;28;VIVO;Solteiro
Herrod Y. Guthrie;United States Minor Outlying Islands;Moerzeke;55(19)12322655;29;NEXTEL;Casado
Zeus Raymond;Togo;Cropalati;55(24)23064587;45;CLARO;Casado
Jessamine Washington;British Indian Ocean Territory;Curarrehue;55(72)77642097;21;VIVO;Divorciado
Aspen P. Mullen;Poland;Warminster;55(58)26984603;26;VIVO;Divorciado
